Id,Building Class,Zoning Classification,Lot Frontage Length,Lot Area Square Feet,Road Type,Alley Access,Lot Shape,Land Contour,Utility Availability,Lot Configuration,Land Slope,Neighborhood Name,Primary Proximity Condition,Secondary Proximity Condition,Building Type,House Style,Overall Material Quality,Overall Condition Rating,Construction Year,Remodel Year,Roof Style,Roof Material,Primary Exterior Material,Secondary Exterior Material,Masonry Veneer Type,Masonry Veneer Area,Exterior Quality,Exterior Condition,Foundation Type,Basement Height Quality,Basement Condition,Basement Exposure Level,Basement Finish Type One,Basement Finished Area One,Basement Finish Type Two,Basement Finished Area Two,Basement Unfinished Area,Total Basement Area,Heating System,Heating Quality,Central Air Conditioning,Electrical System,First Floor Area,Second Floor Area,Low Quality Finished Area,Above Ground Living Area,Basement Full Bathrooms,Basement Half Bathrooms,Full Bathrooms,Half Bathrooms,Bedrooms Above Ground,Kitchens Above Ground,Kitchen Quality,Total Rooms Above Ground,Home Functionality,Number of Fireplaces,Fireplace Quality,Garage Type,Garage Construction Year,Garage Finish Level,Garage Capacity Cars,Garage Area Square Feet,Garage Quality,Garage Condition,Driveway Paving,Wood Deck Area,Open Porch Area,Enclosed Porch Area,Three Season Porch Area,Screen Porch Area,Pool Area,Pool Quality,Fence Type,Miscellaneous Feature,Miscellaneous Value,Month Sold,Year Sold,Sale Type,Sale Condition,House Sale Price
263,80,Residential Low Density,88.0,8471,Paved Road,,Slightly Irregular,Level,All Public Utilities,Corner,Gentle Slope,Sawyer,Normal,Normal,Single Family Detached,Split Level,6,7,1977,1995,Gable,Standard Composite Shingle,Hardboard Siding,Plywood,Brick Face,46.0,Typical Average,Typical Average,Cinder Block,Good,Good,Average Exposure,Average Living Quarters,506,Unfinished,0,0,506,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1212,0,0,1212,1,0,1,0,3,1,Typical Average,6,Typical Functionality,1,Typical Average,Attached to home,1978.0,Unfinished,2,492,Typical Average,Typical Average,Yes,292,12,0,0,0,0,,Good Wood,,0,7,2006,Warranty Deed - Conventional,Normal Sale,151000
264,50,Residential Medium Density,50.0,5500,Paved Road,,Regular,Level,All Public Utilities,Corner,Gentle Slope,Old Town,Normal,Normal,Single Family Detached,One and one-half story: 2nd level finished,5,7,1929,2001,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Typical Average,Typical Average,Brick Tile,Typical Average,Typical Average,No Exposure,Low Quality,234,Average Living Quarters,692,0,926,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,926,0,390,1316,1,0,1,0,3,1,Typical Average,6,Typical Functionality,0,,Detached from home,1974.0,Unfinished,2,484,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,,,0,4,2010,Warranty Deed - Conventional,Normal Sale,130000
265,30,Residential Medium Density,30.0,5232,Paved Road,Gravel Road,Irregular,Banked,All Public Utilities,Inside,Gentle Slope,Old Town,Adjacent to arterial street,Normal,Single Family Detached,One story,5,5,1925,2004,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Typical Average,Typical Average,Brick Tile,Fair,Typical Average,No Exposure,Unfinished,0,Unfinished,0,680,680,Gas forced warm air furnace,Good,No,60 AMP Fuse Box (Poor),764,0,0,764,0,0,1,0,2,1,Typical Average,4,Typical Functionality,0,,Detached from home,1965.0,Unfinished,2,504,Typical Average,Typical Average,No,0,0,0,0,0,0,,,,0,6,2008,Warranty Deed - Conventional,Normal Sale,73000
266,20,Residential Low Density,78.0,12090,Paved Road,,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,NWAmes,Normal,Normal,Single Family Detached,One story,6,6,1981,1981,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,Brick Face,210.0,Typical Average,Good,Cinder Block,Good,Typical Average,No Exposure,Good Living Quarters,588,Low Quality,228,606,1422,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1422,0,0,1422,0,0,2,0,3,1,Good,7,Typical Functionality,1,Typical Average,Attached to home,1981.0,Finished,2,576,Typical Average,Typical Average,Yes,276,0,0,0,0,0,,Good Privacy,,0,6,2008,Warranty Deed - Conventional,Normal Sale,175500
267,60,Residential Low Density,70.0,11207,Paved Road,,Slightly Irregular,HillSide,All Public Utilities,FR2,Gentle Slope,Gilbert,Normal,Normal,Single Family Detached,Two story,6,5,1997,1997,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Typical Average,Typical Average,Poured Concrete,Good,Typical Average,Average Exposure,Good Living Quarters,714,Unfinished,0,88,802,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,802,709,0,1511,1,0,2,1,3,1,Typical Average,8,Typical Functionality,1,Typical Average,Attached to home,1997.0,Finished,2,413,Typical Average,Typical Average,Yes,95,75,0,0,0,0,,,,0,6,2006,Warranty Deed - Conventional,Normal Sale,185000
268,75,Residential Low Density,60.0,8400,Paved Road,,Regular,Banked,All Public Utilities,Inside,Moderate Slope,South & West of Iowa State University,Normal,Normal,Single Family Detached,Two and one-half story: 2nd level finished,5,8,1939,1997,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Typical Average,Typical Average,Poured Concrete,Typical Average,Typical Average,No Exposure,Low Quality,378,Unfinished,0,342,720,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1052,720,420,2192,0,0,2,1,4,1,Good,8,Typical Functionality,1,Good,Detached from home,1939.0,Unfinished,1,240,Typical Average,Typical Average,Yes,262,24,0,0,0,0,,,,0,7,2008,Warranty Deed - Conventional,Normal Sale,179500
269,30,Residential Medium Density,71.0,6900,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Iowa DOT and Rail Road,Normal,Normal,Single Family Detached,One story,5,6,1940,1955,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Living Quarters,403,Average Rec Room,125,212,740,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,778,0,0,778,0,0,1,0,2,1,Typical Average,4,Typical Functionality,1,Good,Detached from home,1966.0,Finished,1,924,Excellent,Excellent,Yes,0,25,0,0,0,0,,,,0,2,2008,Warranty Deed - Conventional,Normal Sale,120500
270,20,Residential Low Density,,7917,Paved Road,,Slightly Irregular,Level,All Public Utilities,Corner,Gentle Slope,Edwards,Normal,Normal,Single Family Detached,One story,6,7,1976,1976,Hip,Standard Composite Shingle,Hardboard Siding,Hardboard Siding,Brick Face,174.0,Typical Average,Good,Cinder Block,Typical Average,Good,No Exposure,Below Average Living Quarters,751,Unfinished,0,392,1143,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1113,0,0,1113,1,0,1,1,3,1,Typical Average,6,Typical Functionality,1,Fair,Attached to home,1987.0,Rough Finished,1,504,Typical Average,Good,Yes,370,30,0,0,0,0,,Good Privacy,,0,5,2007,Warranty Deed - Conventional,Normal Sale,148000
271,60,Floating Village Residential,84.0,10728,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Somerset,Normal,Normal,Single Family Detached,Two story,8,5,2006,2006,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Good,Typical Average,Poured Concrete,Good,Typical Average,Minimum Exposure,Unfinished,0,Unfinished,0,1095,1095,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1095,844,0,1939,0,0,2,1,3,1,Good,8,Typical Functionality,1,Good,Attached to home,2006.0,Rough Finished,3,1053,Typical Average,Typical Average,Yes,192,51,0,0,0,0,,,,0,8,2006,Home just constructed and sold,Partial Sale,266000
272,20,Residential Low Density,73.0,39104,Paved Road,,Slightly Irregular,Depressed,All Public Utilities,CulDSac,Severe Slope,Clear Creek,Normal,Normal,Single Family Detached,One story,7,7,1954,2005,Flat,Membran,Plywood,Plywood,,0.0,Typical Average,Typical Average,Cinder Block,Good,Typical Average,Good,Low Quality,226,Good Living Quarters,1063,96,1385,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1363,0,0,1363,1,0,1,0,2,1,Typical Average,5,Moderate Slope,2,Typical Average,Attached to home,1954.0,Unfinished,2,439,Typical Average,Typical Average,Yes,81,0,0,0,0,0,,,,0,4,2008,Warranty Deed - Conventional,Normal Sale,241500
273,60,Residential Low Density,92.0,11764,Paved Road,,Slightly Irregular,Level,All Public Utilities,CulDSac,Gentle Slope,Northridge,Normal,Normal,Single Family Detached,Two story,8,7,1999,2007,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Brick Face,348.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Good Living Quarters,524,Unfinished,0,628,1152,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1164,1106,0,2270,0,0,2,1,4,1,Good,9,Typical Functionality,1,Good,Attached to home,1999.0,Finished,3,671,Typical Average,Typical Average,Yes,132,57,0,0,0,0,,,,0,4,2010,Warranty Deed - Conventional,Normal Sale,290000
274,20,Residential Low Density,80.0,9600,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,North Ames,Adjacent to feeder street,Normal,Single Family Detached,One story,6,6,1958,1988,Hip,Standard Composite Shingle,Wood Siding,Wood Siding,BrkCmn,183.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Rec Room,620,Low Quality,620,0,1240,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1632,0,0,1632,1,0,2,0,3,1,Typical Average,6,Minor Deductions One,1,Good,Attached to home,1958.0,Rough Finished,1,338,Typical Average,Typical Average,Yes,289,0,0,0,0,0,,Minimum Privacy,,0,4,2009,Warranty Deed - Conventional,Normal Sale,139000
275,20,Residential Low Density,76.0,8314,Paved Road,,Regular,Level,All Public Utilities,Corner,Gentle Slope,Mitchell,Normal,Normal,Single Family Detached,One story,5,7,1982,1982,Gable,Standard Composite Shingle,Hardboard Siding,ImStucc,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,Good,Average Living Quarters,546,Unfinished,0,270,816,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,816,0,0,816,0,0,1,0,2,1,Typical Average,5,Typical Functionality,0,,Attached to home,1982.0,Unfinished,1,264,Typical Average,Typical Average,Yes,168,0,0,0,0,0,,,,0,6,2007,Warranty Deed - Conventional,Normal Sale,124500
276,50,Residential Low Density,55.0,7264,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Brookside,Normal,Normal,Single Family Detached,One and one-half story: 2nd level finished,7,7,1925,2007,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Good,Good,Brick Tile,Typical Average,Typical Average,No Exposure,Unfinished,0,Unfinished,0,952,952,Gas hot water or steam heat,Good,No,Standard Circuit Breakers & Romex,952,596,0,1548,0,0,2,1,3,1,Excellent,5,Typical Functionality,0,,Detached from home,1978.0,Unfinished,2,672,Typical Average,Typical Average,Yes,74,0,0,0,144,0,,,,0,10,2009,Warranty Deed - Conventional,Normal Sale,205000
277,20,Residential Low Density,129.0,9196,Paved Road,,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,Mitchell,Normal,Normal,Single Family Detached,One story,7,5,2003,2003,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Good,Typical Average,Poured Concrete,Excellent,Typical Average,No Exposure,Unfinished,0,Unfinished,0,1560,1560,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1560,0,0,1560,0,0,2,0,3,1,Good,7,Typical Functionality,0,,Attached to home,2003.0,Finished,2,573,Typical Average,Typical Average,Yes,100,150,0,0,0,0,,,,0,4,2010,Warranty Deed - Conventional,Normal Sale,201000
278,20,Residential Low Density,140.0,19138,Paved Road,,Regular,Level,All Public Utilities,Corner,Gentle Slope,Gilbert,Normal,Normal,Single Family Detached,One story,4,5,1951,1951,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Low Quality,120,Unfinished,0,744,864,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,864,0,0,864,0,0,1,0,2,1,Typical Average,4,Typical Functionality,0,,Detached from home,1951.0,Unfinished,2,400,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,,,0,6,2010,Warranty Deed - Conventional,Normal Sale,141000
279,20,Residential Low Density,107.0,14450,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Northridge Heights,Normal,Normal,Single Family Detached,One story,9,5,2006,2007,Gable,Standard Composite Shingle,CemntBd,CmentBd,Brick Face,315.0,Excellent,Typical Average,Poured Concrete,Excellent,Typical Average,Good,Unfinished,0,Unfinished,0,2121,2121,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2121,0,0,2121,0,0,2,1,3,1,Excellent,8,Typical Functionality,1,Excellent,Attached to home,2007.0,Finished,3,732,Typical Average,Typical Average,Yes,124,98,0,0,142,0,,,,0,5,2007,Home just constructed and sold,Partial Sale,415298
280,60,Residential Low Density,83.0,10005,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Clear Creek,Normal,Normal,Single Family Detached,Two story,7,5,1977,1977,Hip,Standard Composite Shingle,Plywood,Plywood,Brick Face,299.0,Typical Average,Typical Average,Cinder Block,Good,Typical Average,No Exposure,Below Average Living Quarters,392,Unfinished,0,768,1160,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1156,866,0,2022,0,0,2,1,4,1,Typical Average,8,Typical Functionality,1,Typical Average,Attached to home,1977.0,Finished,2,505,Typical Average,Typical Average,Yes,288,117,0,0,0,0,,,,0,3,2008,Warranty Deed - Conventional,Normal Sale,192000
281,60,Residential Low Density,82.0,11287,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Sawyer West,Normal,Normal,Single Family Detached,Two story,7,6,1989,1989,Gable,Standard Composite Shingle,Plywood,Plywood,Brick Face,340.0,Good,Typical Average,Cinder Block,Good,Typical Average,Average Exposure,Good Living Quarters,421,Unfinished,0,386,807,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1175,807,0,1982,0,0,2,1,3,1,Good,7,Typical Functionality,1,Typical Average,Attached to home,1989.0,Finished,2,575,Typical Average,Typical Average,Yes,0,84,0,196,0,0,,,,0,1,2007,Warranty Deed - Conventional,Normal Sale,228500
282,20,Floating Village Residential,60.0,7200,Paved Road,Paved Road,Regular,Level,All Public Utilities,Inside,Gentle Slope,Somerset,Normal,Normal,Single Family Detached,One story,6,5,2006,2006,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Stone,68.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Good Living Quarters,905,Unfinished,0,357,1262,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1262,0,0,1262,0,0,2,0,2,1,Good,5,Typical Functionality,0,,Attached to home,2006.0,Finished,2,572,Typical Average,Typical Average,Yes,0,120,0,0,0,0,,,,0,5,2006,Home just constructed and sold,Partial Sale,185000
283,120,Residential Low Density,34.0,5063,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Northridge Heights,Normal,Normal,Townhouse Inside Unit,One story,7,5,2007,2008,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Stone,166.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Good Living Quarters,904,Unfinished,0,410,1314,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1314,0,0,1314,1,0,2,0,2,1,Good,6,Typical Functionality,1,Good,Attached to home,2008.0,Rough Finished,2,626,Typical Average,Typical Average,Yes,172,62,0,0,0,0,,,,0,4,2009,ConLw,Normal Sale,207500
284,20,Residential Low Density,74.0,9612,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Somerset,Adjacent to feeder street,Normal,Single Family Detached,One story,8,5,2008,2009,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Stone,72.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Unfinished,0,Unfinished,0,1468,1468,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1468,0,0,1468,0,0,2,0,3,1,Good,6,Typical Functionality,1,Good,Attached to home,2008.0,Finished,3,898,Typical Average,Typical Average,Yes,210,150,0,0,0,0,,,,0,12,2009,Home just constructed and sold,Partial Sale,244600
285,120,Residential Low Density,50.0,8012,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Sawyer West,Normal,Normal,Townhouse End Unit,One story,6,5,1992,1992,Gable,Standard Composite Shingle,Plywood,ImStucc,,0.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Good Living Quarters,430,Unfinished,0,1145,1575,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1575,0,0,1575,1,0,2,0,2,1,Good,5,Typical Functionality,0,,Attached to home,1992.0,Rough Finished,2,529,Typical Average,Typical Average,Yes,0,0,52,0,0,0,,,,0,7,2007,Warranty Deed - Conventional,Normal Sale,179200
286,160,Floating Village Residential,35.0,4251,Paved Road,Paved Road,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,Somerset,Normal,Normal,Townhouse End Unit,Two story,7,5,2006,2007,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,,0.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Unfinished,0,Unfinished,0,625,625,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,625,625,0,1250,0,0,2,1,2,1,Good,5,Typical Functionality,0,,Detached from home,2006.0,Rough Finished,2,528,Typical Average,Typical Average,Yes,0,54,0,0,0,0,,,,0,6,2007,Home just constructed and sold,Partial Sale,164700
287,50,Residential Low Density,77.0,9786,Paved Road,,Slightly Irregular,Banked,All Public Utilities,Inside,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One and one-half story: 2nd level finished,6,7,1962,1981,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Rec Room,600,Unfinished,0,312,912,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1085,649,0,1734,0,0,1,1,3,1,Good,7,Typical Functionality,1,Good,Attached to home,1962.0,Rough Finished,2,440,Typical Average,Typical Average,Yes,0,0,0,0,128,0,,Good Privacy,,0,6,2006,Warranty Deed - Conventional,Normal Sale,159000
288,20,Residential Low Density,,8125,Paved Road,,Slightly Irregular,Level,All Public Utilities,Corner,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,4,4,1971,1971,Gable,Standard Composite Shingle,Hardboard Siding,Hardboard Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Below Average Living Quarters,614,Unfinished,0,244,858,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,858,0,0,858,0,0,1,0,3,1,Typical Average,5,Typical Functionality,0,,,,,0,0,,,Yes,0,0,0,0,0,0,,,,0,6,2006,Warranty Deed - Conventional,Normal Sale,88000
289,20,Residential Low Density,,9819,Paved Road,,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,Sawyer,Normal,Normal,Single Family Detached,One story,5,5,1967,1967,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,Brick Face,31.0,Typical Average,Good,Cinder Block,Typical Average,Typical Average,No Exposure,Below Average Living Quarters,450,Unfinished,0,432,882,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,900,0,0,900,0,0,1,0,3,1,Typical Average,5,Typical Functionality,0,,Detached from home,1970.0,Unfinished,1,280,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,Minimum Privacy,,0,2,2010,Warranty Deed - Conventional,Normal Sale,122000
290,70,Residential Low Density,60.0,8730,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Brookside,Adjacent to North-South Railroad,Normal,Single Family Detached,Two story,6,7,1915,2003,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Typical Average,Typical Average,Brick Tile,Typical Average,Typical Average,No Exposure,Unfinished,0,Unfinished,0,698,698,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP (Average),698,698,0,1396,0,0,1,0,3,1,Typical Average,7,Typical Functionality,0,,Detached from home,2003.0,Unfinished,1,384,Typical Average,Typical Average,Yes,0,0,0,0,259,0,,,,0,7,2007,Warranty Deed - Conventional,Normal Sale,153575
291,60,Residential Low Density,120.0,15611,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,College Creek,Normal,Normal,Single Family Detached,Two story,8,5,2006,2006,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Good,Typical Average,Poured Concrete,Good,Typical Average,Average Exposure,Unfinished,0,Unfinished,0,1079,1079,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1079,840,0,1919,0,0,2,1,3,1,Good,8,Typical Functionality,1,Good,Attached to home,2006.0,Rough Finished,2,685,Good,Typical Average,Yes,0,51,0,0,0,0,,,,0,7,2006,Home just constructed and sold,Partial Sale,233230
292,190,Residential Low Density,55.0,5687,Paved Road,Gravel Road,Regular,Banked,All Public Utilities,Inside,Gentle Slope,South & West of Iowa State University,Normal,Normal,Two Family Conversion,Two story,5,6,1912,2000,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Typical Average,Fair,Poured Concrete,Typical Average,Fair,No Exposure,Average Rec Room,210,Unfinished,0,570,780,Gas forced warm air furnace,Excellent,No,Standard Circuit Breakers & Romex,936,780,0,1716,1,0,2,0,6,1,Fair,9,Typical Functionality,0,,,,,0,0,,,No,0,184,0,0,0,0,,,,0,3,2008,Warranty Deed - Conventional,Normal Sale,135900
293,50,Residential Low Density,60.0,11409,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Edwards,Normal,Normal,Single Family Detached,One and one-half story: 2nd level finished,5,4,1949,2008,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Low Quality,292,Unfinished,0,476,768,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1148,568,0,1716,0,0,1,1,3,1,Typical Average,8,Minor Deductions Two,1,Good,Attached to home,1949.0,Unfinished,1,281,Typical Average,Typical Average,Yes,0,0,0,0,160,0,,,,0,1,2009,Warranty Deed - Conventional,Normal Sale,131000
294,60,Residential Low Density,,16659,Paved Road,,Slightly Irregular,Level,All Public Utilities,Corner,Gentle Slope,NWAmes,Adjacent to positive off-site feature,Normal,Single Family Detached,Two story,7,7,1977,1994,Gable,Standard Composite Shingle,Plywood,Plywood,Brick Face,34.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Living Quarters,795,Unfinished,0,0,795,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,1468,795,0,2263,1,0,2,1,3,1,Good,9,Typical Functionality,1,Typical Average,Attached to home,1977.0,Finished,2,539,Typical Average,Typical Average,Yes,0,250,0,0,0,0,,,,0,3,2006,Warranty Deed - Conventional,Normal Sale,235000
295,20,Residential Low Density,80.0,9600,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,6,5,1953,1953,Hip,Standard Composite Shingle,Hardboard Siding,Hardboard Siding,Stone,238.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Good Living Quarters,1285,Unfinished,0,131,1416,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1644,0,0,1644,1,0,1,0,3,1,Typical Average,7,Typical Functionality,2,Good,Attached to home,1953.0,Finished,2,418,Typical Average,Typical Average,Yes,110,0,0,0,0,0,,,,0,10,2009,Warranty Deed - Conventional,Normal Sale,167000
296,80,Residential Low Density,37.0,7937,Paved Road,,Slightly Irregular,Level,All Public Utilities,CulDSac,Gentle Slope,Mitchell,Normal,Normal,Single Family Detached,Split Level,6,6,1984,1984,Gable,Standard Composite Shingle,Hardboard Siding,Hardboard Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,Average Exposure,Good Living Quarters,819,Unfinished,0,184,1003,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1003,0,0,1003,1,0,1,0,3,1,Typical Average,6,Typical Functionality,0,,Detached from home,1984.0,Unfinished,2,588,Typical Average,Typical Average,Yes,120,0,0,0,0,0,,Good Privacy,,0,3,2006,Warranty Deed - Conventional,Normal Sale,142500
297,50,Residential Medium Density,75.0,13710,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Iowa DOT and Rail Road,Normal,Normal,Single Family Detached,One and one-half story: 2nd level finished,5,5,1950,1950,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Below Average Living Quarters,420,Unfinished,0,490,910,Gas forced warm air furnace,Typical Average,Yes,Fuse Box over 60 AMP (Average),910,648,0,1558,0,0,1,1,4,1,Typical Average,6,Typical Functionality,0,,Attached to home,1950.0,Unfinished,1,282,Typical Average,Typical Average,Yes,289,0,0,0,0,0,,Minimum Privacy,,0,6,2007,Warranty Deed - Conventional,Normal Sale,152000
298,60,Floating Village Residential,66.0,7399,Paved Road,Paved Road,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,Somerset,Normal,Normal,Single Family Detached,Two story,7,5,1997,1998,Hip,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Brick Face,1600.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Below Average Living Quarters,649,Unfinished,0,326,975,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,975,975,0,1950,0,0,2,1,3,1,Good,7,Typical Functionality,1,Typical Average,Detached from home,1997.0,Rough Finished,2,576,Typical Average,Typical Average,Yes,0,10,0,0,198,0,,,,0,6,2007,Warranty Deed - Conventional,Normal Sale,239000
299,60,Residential Low Density,90.0,11700,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,NWAmes,Normal,Normal,Single Family Detached,Two story,6,6,1968,1968,Mansard,Standard Composite Shingle,Hardboard Siding,AsphShn,Brick Face,365.0,Good,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Living Quarters,384,Average Rec Room,175,143,702,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1041,702,0,1743,0,1,1,2,3,1,Typical Average,7,Typical Functionality,1,Good,Attached to home,1968.0,Unfinished,2,539,Typical Average,Typical Average,Yes,224,0,0,0,0,0,,,,0,6,2007,Warranty Deed - Conventional,Normal Sale,175000
300,20,Residential Low Density,80.0,14000,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Crawford,Normal,Normal,Single Family Detached,One story,6,8,1950,2004,Gable,Standard Composite Shingle,Hardboard Siding,Hardboard Siding,,0.0,Typical Average,Good,Cinder Block,Typical Average,Typical Average,No Exposure,Unfinished,0,Unfinished,0,1092,1092,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1152,0,0,1152,0,1,1,0,3,1,Good,6,Typical Functionality,1,Good,Attached to home,1950.0,Unfinished,1,300,Typical Average,Typical Average,Yes,0,36,0,0,0,0,,Good Privacy,,0,8,2009,Warranty Deed - Conventional,Family Sale,158500
